"castle_1","castle_2","castle_3","castle_4","castle_5"
5,5,11,33,46
4,36,20,36,4
4,30,20,42,4
4,22,22,38,14
4,22,13,28,33
4,27,24,4,41
4,24,38,30,4
4,20,30,38,8
4,16,37,39,4
4,18,20,54,4
4,17,18,28,33
4,17,26,51,2
4,12,32,52,0
4,12,22,40,22
4,18,4,42,32
4,15,24,27,30
4,11,28,18,39
4,10,26,56,4
4,9,17,25,45
4,9,17,25,45
4,9,17,25,45
4,8,36,46,6
4,9,19,4,64
4,7,22,37,30
4,7,17,36,36
4,7,14,26,49
4,7,20,40,29
4,6,34,54,2
4,24,4,44,24
4,23,8,42,23
4,23,31,4,38
4,22,4,44,26
4,18,35,39,4
4,18,21,17,40
4,17,33,30,16
4,16,34,42,4
4,14,33,45,4
4,14,33,45,4
4,14,19,4,59
4,14,4,45,33
4,13,32,4,47
4,13,4,26,53
4,13,21,62,0
4,12,40,40,4
4,12,30,50,4
4,12,29,51,4
4,12,27,35,22
4,12,4,52,28
4,11,35,50,0
4,8,24,32,32
4,8,20,30,38
4,7,31,52,6
4,6,22,30,38
4,5,11,23,57
4,5,10,25,56
4,5,13,37,41
4,4,44,24,24
4,4,42,42,8
4,4,38,24,30
4,4,36,36,20
4,4,35,27,30
4,4,33,37,22
4,4,32,32,28
4,4,30,38,24
4,4,16,43,33
4,4,37,27,28
4,4,27,42,23
4,4,22,14,56
4,4,22,35,35
4,4,12,24,56
4,4,35,53,4
4,4,30,40,22
4,4,26,39,27
4,4,24,40,28
4,4,6,34,52
4,4,5,46,41
4,4,44,4,44
4,4,28,4,60
4,4,24,44,24
4,4,24,44,24
4,4,24,44,24
4,4,24,44,24
4,4,20,36,36
4,4,16,34,42
4,4,14,42,36
4,4,13,21,58
4,4,11,43,38
4,4,10,42,40
4,4,4,55,33
4,4,4,53,35
4,4,4,39,49
4,4,4,39,49
4,4,4,20,68
4,4,4,25,63
4,4,4,30,58
4,4,4,30,58
4,4,4,23,65
4,4,4,4,84
4,4,4,4,84
4,4,4,4,84
4,3,9,38,46
3,31,32,32,2
3,12,18,37,30
3,20,17,24,36
3,8,16,36,37
3,10,30,57,0
3,13,18,4,62
3,4,18,22,53
3,2,17,32,46
3,2,2,31,62
3,2,2,31,62
3,2,2,28,65
2,2,32,25,39
2,8,22,30,38
2,0,0,32,66
2,0,0,31,67
20,20,20,20,20
19,19,19,21,22
17,32,32,17,2
16,31,2,30,21
12,22,22,42,2
12,15,21,25,27
12,2,36,48,2
12,2,35,49,2
11,26,35,26,2
11,22,27,27,13
11,2,29,54,4
10,20,20,50,0
9,4,31,52,4
9,2,37,52,0
9,2,33,54,2
8,22,22,46,2
8,17,21,25,29
8,17,21,25,29
8,17,11,27,37
8,13,16,28,35
8,2,36,52,2
8,2,30,60,0
8,2,22,66,2
8,2,2,25,63
8,2,2,30,58
7,19,31,41,2
7,19,2,4,68
7,12,17,27,37
7,14,20,26,33
7,2,39,48,4
6,16,37,27,14
6,13,22,27,32
6,7,47,38,2
6,6,6,6,76
6,2,38,52,2
5,12,35,17,31
5,16,32,21,26
5,18,30,45,2
5,14,26,34,21
5,14,22,30,29
5,10,30,30,25
5,4,15,30,46
5,12,22,27,34
5,4,28,31,32
5,2,39,52,2
5,2,2,31,60
4,20,33,39,4
4,16,35,40,5
4,15,16,39,26
4,13,34,29,20
4,13,23,33,27
4,12,21,29,34
4,12,21,26,37
4,12,20,28,36
4,12,20,28,36
4,12,20,28,36
4,12,20,28,36
4,12,20,28,36
4,12,20,28,36
4,12,20,28,36
4,12,20,28,36
4,12,20,28,36
4,12,20,28,36
4,12,20,28,36
4,12,20,28,36
4,12,20,28,36
4,12,20,28,36
4,12,20,28,36
4,12,20,28,36
4,12,20,28,36
4,12,20,28,36
4,12,20,28,36
4,12,20,28,36
4,12,20,28,36
4,12,20,28,36
4,12,20,28,36
4,12,19,26,39
4,6,22,30,38
4,19,36,40,1
4,12,27,37,20
4,10,20,30,36
4,10,20,30,36
4,10,18,32,36
4,12,31,33,20
4,6,18,36,36
4,6,28,60,2
4,2,41,51,2
4,2,37,51,6
3,17,13,34,33
3,6,14,49,28
3,15,40,33,9
3,14,33,38,12
3,18,4,38,37
3,15,29,51,2
3,12,6,24,55
3,10,21,37,29
3,10,20,29,38
3,10,20,28,39
3,21,33,29,14
3,9,19,29,40
3,8,18,34,37
3,8,17,30,42
3,8,16,32,41
3,8,19,32,38
3,7,30,40,20
3,7,22,30,38
3,7,22,30,38
3,7,22,30,38
3,7,18,37,35
3,7,20,40,30
3,7,22,58,10
3,7,15,35,40
3,7,11,45,34
3,7,11,15,64
3,6,20,45,26
3,12,41,37,7
3,8,22,37,30
3,8,31,54,4
3,7,15,47,28
3,5,33,37,22
3,5,19,34,39
3,4,40,27,26
3,4,37,26,30
3,4,26,32,35
3,4,20,39,34
3,4,31,60,2
3,4,7,26,60
3,4,5,26,62
3,4,14,34,45
3,3,38,53,3
3,3,24,46,24
2,53,20,23,2
2,20,31,45,2
2,35,20,41,2
2,32,17,17,32
2,32,17,17,32
2,32,22,42,2
2,14,37,45,2
2,14,2,46,36
2,23,20,53,2
2,22,22,52,2
2,22,12,37,27
2,23,2,45,28
2,10,19,43,26
2,16,40,40,2
2,9,16,48,25
2,22,36,38,2
2,17,32,37,12
2,17,16,38,27
2,17,27,48,6
2,16,40,40,2
2,7,2,25,64
2,17,29,33,19
2,15,34,38,11
2,14,38,44,2
2,14,27,36,21
2,12,27,49,10
2,10,18,30,40
2,9,17,26,46
2,8,27,38,25
2,7,30,40,21
2,6,12,50,30
2,14,33,47,4
2,14,26,26,32
2,13,12,30,43
2,12,27,55,4
2,12,16,31,39
2,8,30,54,6
2,7,11,40,40
2,7,15,24,52
2,6,35,54,3
2,6,16,41,35
2,6,15,30,47
2,6,15,30,47
2,6,15,30,47
2,5,13,34,46
2,4,40,50,4
2,4,36,27,31
2,4,10,24,60
2,4,18,45,31
2,4,13,45,36
2,4,4,60,30
2,4,4,58,32
2,31,2,63,2
2,24,2,47,25
2,21,2,49,26
2,20,38,38,2
2,20,2,50,26
2,18,37,41,2
2,17,2,52,27
2,16,40,40,2
2,16,40,40,2
2,16,19,28,35
2,16,36,44,2
2,16,30,32,20
2,16,2,51,29
2,15,35,46,2
2,15,31,50,2
2,15,28,28,27
2,15,2,51,30
2,15,2,44,37
2,14,35,47,2
2,14,34,22,28
2,13,35,46,4
2,13,34,49,2
2,13,30,35,20
2,13,21,2,62
2,13,2,45,38
2,12,32,22,32
2,12,2,55,29
2,12,2,42,42
2,11,32,44,11
2,11,11,45,31
2,10,24,38,26
2,8,30,30,30
2,8,26,37,27
2,8,26,41,23
2,8,22,30,38
2,8,22,30,38
2,8,25,63,2
2,7,30,38,23
2,7,24,29,38
2,6,27,57,8
2,6,18,32,42
2,6,15,26,51
2,5,2,55,36
2,4,17,41,36
2,4,22,40,32
2,4,24,46,24
2,3,22,33,40
2,3,9,23,63
2,3,8,41,46
2,3,8,30,57
2,3,14,31,50
2,3,13,14,68
2,3,8,52,35
2,3,4,4,87
2,2,57,22,17
2,2,65,31,0
2,2,48,24,24
2,2,46,25,25
2,2,46,25,25
2,2,42,27,27
2,2,41,27,28
2,2,41,27,28
2,2,40,21,35
2,2,38,38,20
2,2,37,27,32
2,2,37,28,31
2,2,35,39,22
2,2,34,23,39
2,2,34,27,35
2,2,41,28,27
2,2,40,53,3
2,2,35,29,32
2,2,34,24,38
2,2,34,27,35
2,2,26,26,44
2,2,30,42,24
2,2,27,65,4
2,2,32,42,22
2,2,24,32,40
2,2,24,32,40
2,2,24,32,40
2,2,24,32,40
2,2,23,42,31
2,2,22,27,47
2,2,22,22,52
2,2,22,32,42
2,2,30,40,26
2,2,20,40,36
2,2,24,26,46
2,2,29,44,23
2,2,21,40,35
2,2,17,42,37
2,2,17,37,42
2,2,17,45,34
2,2,33,60,3
2,2,6,18,72
2,2,4,18,74
2,2,32,64,0
2,2,32,32,32
2,2,24,47,25
2,2,22,72,2
2,2,22,47,27
2,2,21,49,26
2,2,21,46,29
2,2,21,47,28
2,2,20,38,38
2,2,20,38,38
2,2,18,37,41
2,2,18,37,41
2,2,17,52,27
2,2,17,47,32
2,2,17,27,52
2,2,16,49,31
2,2,16,40,40
2,2,16,40,40
2,2,16,30,50
2,2,13,40,43
2,2,13,49,34
2,2,13,34,49
2,2,12,52,32
2,2,12,42,42
2,2,12,49,35
2,2,11,50,35
2,2,8,33,55
2,2,8,30,58
2,2,8,28,60
2,2,6,35,55
2,2,2,62,32
2,2,2,48,46
2,2,2,46,48
2,2,2,46,48
2,2,2,46,48
2,2,2,46,48
2,2,2,47,47
2,2,2,42,52
2,2,2,34,60
2,2,2,40,54
2,2,2,31,63
2,2,2,29,65
2,2,2,34,60
2,2,2,32,62
2,2,2,32,62
2,2,2,32,62
2,2,2,31,63
2,2,2,30,64
2,2,2,29,65
2,2,2,22,72
2,2,1,28,67
2,2,15,21,60
2,2,0,48,48
2,2,0,32,64
1,10,24,65,0
1,14,46,37,2
1,39,60,0,0
1,1,38,40,20
1,0,16,30,53
1,0,0,33,66
26,74,0,0,0
25,50,25,0,0
21,0,0,25,54
20,20,20,20,20
20,0,40,40,0
17,24,24,35,0
16,33,17,17,17
15,28,14,29,14
15,0,40,45,0
15,0,39,46,0
15,0,38,47,0
14,0,36,50,0
12,0,41,47,0
12,0,38,50,0
12,0,0,28,60
11,2,42,45,0
11,14,19,56,0
11,0,42,47,0
11,0,33,56,0
11,0,32,57,0
11,0,27,62,0
11,0,27,62,0
11,0,27,62,0
11,0,27,62,0
10,90,0,0,0
10,20,20,30,20
10,12,20,28,30
10,0,50,40,0
10,0,40,50,0
10,0,40,50,0
10,0,0,30,60
10,0,0,30,60
9,11,19,21,40
9,5,13,39,34
9,0,26,65,0
8,14,21,25,32
8,0,42,50,0
8,0,39,53,0
8,0,38,54,0
8,0,38,54,0
8,0,35,57,0
7,24,39,30,0
7,18,25,32,18
7,14,21,25,33
7,0,44,49,0
7,0,40,53,0
7,0,39,54,0
7,0,39,54,0
7,0,32,57,4
6,18,31,45,0
6,12,23,26,33
6,0,39,54,1
6,0,36,58,0
5,28,16,45,6
5,20,0,45,30
5,20,45,30,0
5,16,25,34,20
5,10,10,75,0
5,10,10,55,20
5,17,30,22,26
5,15,40,40,0
5,1,2,24,68
5,0,37,58,0
5,0,37,58,0
5,0,37,54,4
5,0,31,60,4
5,0,29,66,0
4,16,40,40,0
4,14,30,52,0
4,2,4,51,39
4,0,46,48,2
4,0,36,60,0
3,19,4,47,27
3,17,31,37,12
3,6,16,40,35
3,11,40,38,8
3,7,25,37,28
3,5,1,46,45
3,10,14,26,47
3,6,21,45,25
3,6,20,66,5
3,6,23,40,28
3,0,40,57,0
3,0,31,41,25
2,10,22,31,35
2,10,20,30,38
2,11,22,35,30
2,6,23,34,35
2,13,22,4,59
2,7,16,29,46
2,4,16,47,31
2,9,5,20,64
2,2,22,26,48
1,27,28,29,15
1,13,14,26,46
1,23,22,50,4
1,17,28,51,3
1,11,13,22,53
1,14,17,40,28
1,14,21,28,36
1,14,21,28,36
1,10,5,42,42
1,9,15,28,47
1,9,22,39,29
1,9,24,29,37
1,7,11,70,11
1,6,29,58,6
1,6,16,39,38
1,4,23,31,41
1,9,26,40,24
1,6,16,30,47
1,6,16,30,47
1,6,16,29,48
1,6,15,30,48
1,5,9,25,60
1,5,19,25,50
1,4,8,35,52
1,4,13,47,35
1,18,2,51,28
1,16,3,43,37
1,12,6,48,33
1,12,2,50,35
1,11,27,58,3
1,10,24,45,20
1,8,26,65,0
1,3,21,72,3
1,3,14,34,48
1,2,32,33,32
1,2,33,64,0
1,2,22,40,35
1,2,17,52,28
1,2,9,33,55
1,2,2,48,47
1,2,2,16,79
1,1,1,1,96
1,0,41,56,2
0,56,20,24,0
0,33,20,47,0
0,30,30,40,0
0,30,30,0,40
0,16,0,27,57
0,15,20,65,0
0,15,15,0,70
0,30,40,30,0
0,29,15,54,2
0,26,21,49,4
0,28,44,28,0
0,28,11,14,47
0,25,22,53,0
0,25,20,55,0
0,12,23,2,63
0,26,20,54,0
0,25,21,54,0
0,25,20,53,2
0,24,22,54,0
0,23,30,4,43
0,23,16,61,0
0,22,32,42,4
0,22,22,11,45
0,22,17,59,2
0,22,21,57,0
0,22,21,57,0
0,11,32,57,0
0,11,0,53,36
0,30,70,0,0
0,25,20,55,0
0,23,22,55,0
0,21,30,47,2
0,10,43,47,0
0,10,20,30,40
0,10,22,0,68
0,10,0,30,60
0,10,0,27,63
0,12,11,45,32
0,10,17,2,71
0,20,33,45,2
0,19,41,0,40
0,19,15,27,39
0,18,17,65,0
0,17,24,59,0
0,16,23,21,40
0,22,47,31,0
0,17,45,38,0
0,17,22,59,2
0,16,23,59,2
0,14,21,28,37
0,14,19,28,39
0,6,19,47,28
0,6,19,47,28
0,6,19,47,28
0,20,30,50,0
0,17,24,25,34
0,15,25,60,0
0,15,15,25,45
0,10,28,28,34
0,10,40,50,0
0,10,15,45,30
0,11,22,30,37
0,9,20,40,31
0,13,16,33,38
0,7,24,5,64
0,6,14,40,40
0,28,4,44,24
0,18,23,24,35
0,16,68,16,0
0,14,30,36,20
0,5,13,29,53
0,14,2,50,34
0,12,26,62,0
0,12,27,57,4
0,7,33,21,39
0,4,8,41,47
0,3,14,31,52
0,3,9,38,50
0,2,42,28,28
0,2,21,50,27
0,2,2,55,41
0,2,2,44,52
0,2,2,19,77
0,33,67,0,0
0,33,55,6,6
0,25,50,25,0
0,25,0,50,25
0,24,0,50,26
0,21,0,52,27
0,20,40,40,0
0,20,40,40,0
0,20,40,40,0
0,20,40,40,0
0,18,39,43,0
0,18,39,43,0
0,17,0,50,33
0,16,2,47,35
0,15,55,30,0
0,15,41,44,0
0,15,18,0,67
0,15,35,50,0
0,15,15,0,70
0,15,0,54,31
0,15,0,55,30
0,15,0,53,32
0,15,0,50,35
0,15,0,54,31
0,15,0,50,35
0,14,18,0,68
0,14,18,0,68
0,14,21,29,36
0,14,21,29,36
0,14,0,54,32
0,14,0,54,32
0,14,0,54,32
0,14,0,53,33
0,14,0,47,39
0,13,38,49,0
0,13,36,51,0
0,13,35,50,2
0,13,31,35,21
0,13,2,47,38
0,13,0,53,34
0,12,19,25,44
0,12,36,52,0
0,12,4,52,32
0,12,0,55,33
0,12,0,53,35
0,12,0,54,34
0,12,0,50,38
0,12,0,50,38
0,11,21,0,68
0,11,30,59,0
0,11,25,29,35
0,11,11,52,26
0,11,4,51,34
0,11,2,50,37
0,11,0,58,31
0,11,0,57,32
0,11,0,56,33
0,11,0,56,33
0,11,0,44,45
0,10,40,50,0
0,10,40,50,0
0,10,40,50,0
0,10,33,37,20
0,10,35,55,0
0,10,35,55,0
0,10,35,55,0
0,10,35,55,0
0,10,35,55,0
0,10,35,55,0
0,10,33,57,0
0,10,30,60,0
0,10,20,25,45
0,10,21,21,48
0,10,0,60,30
0,10,0,55,35
0,10,0,54,36
0,10,0,50,40
0,9,33,58,0
0,9,23,30,38
0,9,0,48,43
0,8,22,30,40
0,7,20,31,42
0,6,4,57,33
0,6,0,60,34
0,5,15,50,30
0,5,15,40,40
0,5,20,45,30
0,5,0,15,80
0,4,21,45,30
0,4,21,33,42
0,3,34,42,21
0,2,42,56,0
0,2,15,41,42
0,2,24,47,27
0,2,4,60,34
0,2,0,62,36
0,1,37,31,31
0,1,11,35,53
0,1,2,24,73
0,0,100,0,0
0,0,50,25,25
0,0,50,25,25
0,0,50,25,25
0,0,48,26,26
0,0,48,24,28
0,0,47,26,27
0,0,48,26,26
0,0,48,26,26
0,0,46,26,28
0,0,44,27,29
0,0,42,26,32
0,0,42,26,32
0,0,70,30,0
0,0,43,27,30
0,0,40,40,20
0,0,42,25,33
0,0,41,29,30
0,0,40,28,32
0,0,39,29,32
0,0,39,29,32
0,0,18,28,54
0,0,38,29,33
0,0,38,29,33
0,0,38,26,36
0,0,36,41,23
0,0,34,34,32
0,0,34,17,49
0,0,37,30,33
0,0,37,29,34
0,0,37,31,32
0,0,33,29,38
0,0,32,34,34
0,0,35,30,35
0,0,34,30,36
0,0,33,30,37
0,0,32,34,34
0,0,31,33,36
0,0,34,27,39
0,0,30,43,27
0,0,26,37,37
0,0,40,60,0
0,0,32,34,34
0,0,24,33,43
0,0,22,47,31
0,0,30,40,30
0,0,24,34,42
0,0,24,36,40
0,0,23,45,32
0,0,28,31,41
0,0,17,42,41
0,0,11,17,72
0,0,15,52,33
0,0,8,38,54
0,0,18,39,43
0,0,11,36,53
0,0,100,0,0
0,0,33,67,0
0,0,29,34,37
0,0,26,35,39
0,0,25,50,25
0,0,25,50,25
0,0,25,50,25
0,0,25,50,25
0,0,25,50,25
0,0,25,50,25
0,0,25,49,26
0,0,24,49,27
0,0,24,48,28
0,0,21,50,29
0,0,21,50,29
0,0,21,50,29
0,0,20,50,30
0,0,20,50,30
0,0,20,40,40
0,0,20,40,40
0,0,20,40,40
0,0,19,50,31
0,0,19,49,32
0,0,19,46,35
0,0,18,39,43
0,0,18,39,43
0,0,16,50,34
0,0,15,35,50
0,0,14,36,50
0,0,11,34,55
0,0,11,37,52
0,0,10,90,0
0,0,10,50,40
0,0,10,35,55
0,0,6,37,57
0,0,1,24,75
0,0,0,100,0
0,0,0,50,50
0,0,0,50,50
0,0,0,50,50
0,0,0,50,50
0,0,0,46,54
0,0,0,45,55
0,0,0,44,56
0,0,0,31,69
0,0,0,30,70
0,0,0,30,70
0,0,0,23,77
0,0,0,25,75
0,0,0,0,100
0,0,0,0,100
0,0,0,0,100
0,0,0,0,100
